Id,Category,Title,Description
437,1,Norwegian oil production faces paralysis after lock-out threat (AFP),AFP - Norway's oil production faces a crisis in mid-November with a threat by oil sector groups to stage a lock-out to end industrial action which has weighed on the industry since July.
438,4,'Eco' friendly fuel breakthrough,British scientists are claiming a world first after finding a way to use hydrogen to fuel cars.
439,3,U.S. Stocks End Higher, NEW YORK (Reuters) - U.S. stocks advanced on Wednesday as  Internet and semiconductor companies led technology shares  higher and crude oil retreated from record high prices.
440,1,Israeli MPs Vote Historic Exit from Gaza,"The Israeli parliament is set for a historic vote on whether to withdraw from Gaza Strip after 37 years of occupation. The proposal of the withdrawal was made Monday in the Israeli Parliament by Prime Minister Ariel Sharon, causing heated debates."
441,1,U.N. Food Agency Steps Up Sudan Aid (AP),"AP - The United Nations' food relief agency is gearing up for a ""critical stage"" in feeding refugees in western Sudan as more people flee ethnic violence there and the rainy season peaks, U.N. officials said Wednesday."
442,1,Suicide Car Bomb Kills 39 at Pakistan Religious Rally,"At least 39 people were killed and more than 80 wounded when a suicide car bomb exploded at a rally for an assassinated militant religious leader in central Pakistan early Thursday, police said."
443,1,Politicans Killed in Indian Chopper Crash,"Ten people, including a state government minister and two lawmakers, were killed in a helicopter crash in India #39;s mountainous northeast on Wednesday, officials said."
444,1,Ailing Arafat Feeling Much Better: Aides,"Paris, Nov. 1 (NNN): Ailing Palestinian leader Yasser Arafat is feeling better, his aides say, as he undergoes medical examinations in a French army hospital near Paris."
445,4,Peter Berg to Direct Splinter Cell,Paramount has acquired film rights to Tom Clancy #39;s video game Splinter Cell and hired Peter Berg (Friday Night Lights) to direct.
446,1,UN Rights Officials Talks of War Crimes in Darfur," UNITED NATIONS (Reuters) - U.N. envoys told the Security  Council on Thursday that war crimes had probably occurred on ""a  large and systematic scale"" in Sudan's Darfur region and called  for foreign police to help stop abuses."
447,2,Rockets Defeat Winless Grizzlies 90-87 (AP),"AP - Juwan Howard scored 20 points, Yao Ming added 14 points and 11 rebounds, and the Houston Rockets kept Memphis winless this season, beating the Grizzlies 90-87 on Tuesday night despite losing Tracy McGrady to a hip injury."
448,2,Cricket: Ponting gives thumbs up,"Australia captain Ricky Ponting, recovering from a broken thumb, is confident he can improve his poor record in India and help his team win the test series."
449,3,Jones Apparel to Buy Barneys in \$400 Mln Deal, NEW YORK (Reuters) - Mid-priced clothing retailer and maker  Jones Apparel Group Inc. said on Thursday it was buying Barneys  New York Inc. in a \$400 million deal to boost its retail  business and move into luxury apparel.
450,1,UN Security Council to Visit Africa for Talks on Sudan,The 15-member United Nations Security Council heads to Africa this week to push for an end to 21 years of civil war in southern Sudan.
451,2,Yankees Still Pondering the Enigmatic Brown,Yankees pitcher Kevin Brown was more animated than usual on the eve of the start that could turn his misguided September punch into an almost amusing memory.
452,3,Unrest is stirring among Chinese factory workers,"DONGGUAN, China -- Heralded by an unprecedented series of walkouts, the first stirrings of unrest have emerged among the millions of youthful migrant workers who supply seemingly inexhaustible cheap labor for the vast expanse of factories in China's booming Pearl River Delta."
453,3,UPDATE 1-Cirrus Logic cuts 7 percent of staff,"Cirrus Logic Inc. (CRUS.O: Quote, Profile, Research) , a maker of microchips for consumer electronics and other applications, on Wednesday said it had cut its work force by "
454,1,Death demanded for South African  #39;mercenary #39; in E Guinea coup bid,"MALABO : The prosecutor in the case of South African alleged mercenary leader Nick du Toit, who has admitted a limited role in a coup bid in Equatorial Guinea, called for him to be sentenced to death."
455,3,Pioneering McCaw at epicenter of cell deals,The announced union of Sprint and Nextel Communications yesterday marked the second mega-deal in the wireless industry this year - and the second involving a life change for a Craig McCaw-built venture.
456,1,6 Convicted on Sex Abuse Charges on Pacific Island," SYDNEY -- Six men have been convicted on charges ranging from rape to indecent assault following trials that exposed a culture of sexual abuse on their small Pacific island, home to descendants of the 18th-century mutineers from the British ship HMS Bounty."
457,2,US Open at a glance," MEN #39;S MATCHES: Rain suspended the two men #39;s quarterfinal matches. Roger Federer (1) leads Andre Agassi (6), 6-3, 2-6, 7-5; and Tim Henman (5) leads Dominik Hrbaty (22), 6-1, 7-5, 4-5."
458,2,Drug Test Sidelines Mutu for Seven Months,"Romanian soccer star Adrian Mutu as he arrives at the British Football Association in London, ahead of his disciplinary hearing, Thursday Nov. 4, 2004."
459,4,Cash for emails - script kiddies use spam to make their fortunes, Money the prime motivator as viruses and spam converge  63.5 of all email during the first six months of 2004 was spam  Over 1.5 million phishing emails intercepted  Spyware makes its first appearance in the spam attack arsenal Sydney. 17th ...
460,2,Angels blanked by Jays,"Justin Miller allowed two hits over eight innings to outpitch Kelvim Escobar and lead the Toronto Blue Jays to a 1-0 victory over the Angels last night in Anaheim, Calif."
461,1,U.N.'s Annan: Iraq War Done Little to Halt Terrorism (Reuters),"Reuters - The Iraq war has done little to increase\security across the world or halt the activities of\international terrorists, United Nations Secretary-General Kofi\Annan said Sunday."
462,1,Deadly Blast Mars Chechen Voting,"GROZNY, Russia Aug. 29, 2004 - Chechens battered by five years of war, terrorism and misery voted Sunday for a president in an election that the Russian government portrayed as step toward stability, though "
463,2,Vince:  #39;I live for these times #39;,"Thanks to Vince Carter, the Raptors were able to blaze a new trail against the Portland Trail Blazers yesterday. Carter hit a three-point fadeaway jump shot with 4.8 seconds remaining to lift Toronto to a "
464,2,Holmes to decide on double,Kelly Holmes has still to confirm whether she will attempt to repeat her Olympic double at this weekend #39;s World Athletics Final after clearing the first hurdle with a victory in the 1500m yesterday.
465,2,"Phelps, Thorpe Face Dutch Threat"," ATHENS (Reuters) - Michael Phelps, one gold won but one of  his eight title chances now lost, takes on Ian Thorpe and  Pieter van den Hoogenband in their long-awaited showdown in the  200 meters freestyle final on Monday."
466,3,"AT T to Cut About 7,400 Jobs"," WASHINGTON (Reuters) - AT T Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=T.N target=/stocks/quickinfo/fullquote""&gt;T.N&lt;/A&gt; will cut another  7,400 jobs and reduce the value of its assets by \$11.4 billion,  spurred by its retreat from traditional consumer telephone  services, the company said on Thursday."
467,3,China builds on ties with Brazil,China #39;s president Hu Jintao is visiting Brazil in a bid to secure trade deals to satisfy his country #39;s burgeoning demand for foreign goods.
468,3,Oracle #39;s PeopleSoft Bid Deadline Nears,Oracle Corp. #39;s \$24-a-share hostile takeover bid for PeopleSoft Inc. heated up anew yesterday as tonight #39;s deadline for stockholders to offer their shares for sale approached.
469,1,Buenos Aires banks bombed,"The explosions on Wednesday occurred near ATM machines in branches belonging to Citibank and Banco Galicia, damaging the building #39;s facades, officials said."
470,1,Mid-East summit agreed as peace efforts pay off,THE depth and scale of the covert diplomatic manoeuvring to resolve the Israeli-Palestinian conflict was dramatically illuminated yesterday when Egyptian government officials confirmed their involvement in talks leading up to a mid-year peace conference 
471,2,Brockton beats Everett for title,"WALTHAM -- Before the beginning of the 2004 season, Brockton coach Peter Colombo expressed his desire to wrest the title of  quot;Massachusetts football powerhouse quot; from Everett and restore the Boxers to their position as the premier high school football program in the state."
472,3,IBM eyes Web hosting as growth engine,"IBM widened its lead last year in the US market for Internet hosting services as it won a greater share of the midsize-business market, according to data recently published by market researcher IDC."
473,3,Gateway Narrows Loss,Gateway (GTW:NYSE - news - research) narrowed its loss and beat Wall Street #39;s bottom-line expectations for the quarter ending in September.
474,3,ACE fires two employees in bid-rigging controversy,ACE Ltd. has fired two employees and suspended three others over their alleged involvement in the contingent commissions scandal that is being investigated by New York Attorney General Eliot Spitzer.
475,4,Citigroup Unit Violated Its Fiduciary Duty,"Arbitrators have awarded \$75,000 to a longtime WorldCom Inc. employee who argued that bankers contributed to her financial losses by profiting from their relationship with the struggling company and its chief executive at the same time they administered a stock-options program for WorldCom workers. &lt;BR&gt;\&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
476,4,Microsoft offers patch to fix security flaw,"Microsoft Corp., a worldwide leader in operating systems and Internet technologies, announced that it has found a major flaw in Windows XP operating system that is related to the JPEG image format."
477,1,Iran Seeks Compromise at Paris Talks with EU Trio,"Tehran hoped to reach a compromise at talks on Saturday over its nuclear program with Britain, Germany and France, which are trying to persuade it to stop enriching uranium, an Iranian negotiator said."
478,4,Evidence for water on Mars flows,"This week, scientists f urther confirmed the presence of water on Mars, almost a year after the Mars Exploration Rovers landed on the fourth rocky planet from the sun."
479,4,"Blue Gene, Linux top supercomputing list","com November 8, 2004, 4:29 PM PT. Organizations are replacing aging servers with newer more-powerful boxes, often Linux--based, and theyre also investing in storage."
480,3,ADB sees stronger growth in Asia,"Asian economies are heading for robust economic growth in 2004, followed by a slight slowdown in 2005, the Asian Development Bank has said."
481,2,Leander-Rikl lose in US Open doubles finals,"New Delhi: India #39;s tennis ace Leander Paes partnering David Rikl of Czech Republic lost to third-seeded pair of Mark Knowles (Bahamas) and Daniel Nestor (Canada) 3-6, 3-6 in the men #39;s doubles US Open championship in New York."
482,4,Sex and Drugs Go Together for Teens,"By LAURA MECKLER    WASHINGTON (AP) -- It's not just a cliche: Sex and drugs often do go together, says a survey of U.S. teenagers..."
483,3,Jjb has 448 Stores Across the Country and Is the UK #39;s Biggest &lt;b&gt;...&lt;/b&gt;,"The group, which issued a profits warning in July and floated on the stock market a decade ago, revealed the approach in a statement last Friday."
484,2,Arizona pulls away for another NIT win,Mustafa Shakur scored 23 and Ivan Radenovic 20 - both career highs - in No.10 Arizona #39;s 80-69 victory over San Diego on Tuesday in the first round of the Preseason NIT.
485,3,McDonald's Same-Store Sales Rose 3.9 Pct," CHICAGO (Reuters) - McDonald's Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MCD.N target=/stocks/quickinfo/fullquote""&gt;MCD.N&lt;/A&gt; on Wednesday  said worldwide sales at its namesake restaurants open more than  a year rose 3.9 percent in August, helped by strong sales of  new menu items like fried chicken strips."
486,3,Hurry Up and Watch: DVDs Time Out,"Self-destructing DVDs haven't taken off. Video rental outfits aren't buying, film companies don't like them and consumers haven't warmed up -- not to mention the trash they'd create. But they may be coming to a Christmas movie near you."
487,2,Michigan State Blows Out No. 19 Minnesota (AP),"AP - Drew Stanton passed for 308 yards and ran for 102 more, setting a school record for total offense, to lead Michigan State to a 51-17 victory over No. 19 Minnesota on Saturday."
488,1,"Blasts Hit Egyptian Resorts, 23 Feared Dead"," JERUSALEM (Reuters) - Suspected bomb blasts hit three  Egyptian Red Sea resorts used by vacationing Israelis on  Thursday and at least 23 people were feared dead from the  biggest explosion, Israeli media said."
489,2,Spurs coach Jol: Arsenal have calmed Van Persie!,"Tottenham coach Martin Jol says Arsenal firebrand Robin van Persie is already a calmer player than he was at Feyenoord! Jol said:  quot;At 18, Robin was in the first team at Feyenoord."
490,2,No More Clubbing,"Maryland opens its season against Division II Bryant University, instead of a club team, after a new NCAA rule prohibiting those exhibitions."
491,4,Colorado Prisoner Gets Access to Sensitive Data," DENVER (Reuters) - A Colorado prisoner obtained sensitive  information on a county sheriff and nearly 1,000 other  local-government employees after he got a password into the  county's computer system, authorities said on Friday."
492,4,Researchers Find New Species of Bird,"MANILA, Philippines - Filipino and British wildlife researchers say they #39;ve stumbled upon what appears to be a new species of flightless bird found only on the tiny forested island of Calayan in the northern ..."
493,1,Pakistan links Kashmir to granting India MFN status,Pakistans Prime Minister Shaukat Aziz said on Wednesday that granting the Most Favored Nation (MFN) status to India was closely related to the solution of the Kashmir dispute.
494,4,Version 2.0 of Linux Standard Base specs now available,"The latest Linux Standard Base specifications are now out, allowing open-source vendors and developers to maintain easy portability and compatibility among applications for Linux."
495,1,Cambodia #39;s new king returns from China to take up throne,"Cambodia #39;s newly selected king returned from China on Wednesday to take up the throne after his father, outgoing monarch Norodom Sihanouk, abdicated earlier this month because of poor health."
496,1,Cambodia abdication confirmed,"Cambodia's King Sihanouk ignores appeals for him not to abdicate, as attention focuses on the succession."
497,2,Is The Tide Shifting On The Mersey?,"How bad were Everton last season? On the last day, with 39 points, they travelled to Manchester City, who had 38. Any other year this would have been a straight battle for survival, with the losers going down."
498,4,"Space capsule crashes Genesis, payload of solar particles slam &lt;b&gt;...&lt;/b&gt;","The Genesis space capsule and its precious cargo -- billions of particles from the sun -- crashed into the Utah desert Wednesday in a last-minute bungling of a near-flawless, three-year scientific odyssey."
499,3,Symantec will buy Veritas for \$13.5B,"Symantec Corp. will buy Veritas Software Corp. in an all-stock transaction, the companies announced Thursday. Based on Wednesday #39;s closing stock prices, the deal values Veritas at around US\$13.5 billion, they said."
500,4,Indymedia Web Server Takedown Called Speech Threat (TechWeb),"TechWeb - Web sites for Indymedia, a Texas company, were knocked offline when the servers housing them were seized in Britain. Indymedia and civil libertarians are charging censorship."
501,4,Google News: Beta Not Make Money,Ever wonder why Google News has been in beta for three years? Possibly because it hasn't figured out a way to make money without enraging publishers who spend fortunes to actually gather the news. Commentary by Adam L. Penenberg.
502,2,I had faith in Paula,"PAULA RADCLIFFES husband and coach Gary Lough always believed she would bounce back in style from her Olympic nightmare. Radcliffe, 30, pipped Kenyan Susan Chepkemei to win the New York "
503,1,Winnipeg police arrest 35 people in raid on Hells Angels puppet club (Canadian Press),Canadian Press - WINNIPEG (CP) - Winnipeg police have arrested 35 alleged members and associates of a gang with close ties to the Hells Angels in a raid they believe will put a significant dent in the group's drug operation.
504,1,Arab and Western Ministers Voice Different Priorities,Foreign ministers from the Arab world met with leaders from the West on Saturday at a conference dedicated to advancing political change in this region.
505,4,Tellabs Scales Back Price of AFC Deal,"Tellabs Inc., a maker of fiber-optic network equipment, on Tuesday lowered the terms of a deal to buy Advanced Fibre Communications Inc."
506,1,Six found guilty in Pitcairn sex offences trial,Six descendants of the original mutineers on the Bounty were found guilty yesterday of 32 sexual assault offences in one of the last and remotest outposts of the British empire.
507,1,Marines Set for Sunni Triangle Battle,"The U.S. Marines are preparing for a ""decisive"" battle in the Sunni Triangle area west of Baghdad, where insurgents are extending control outward from Fallujah through violence and intimidation, senior commanders said Friday."
508,2,Harrison Signs  #36;66M Deal With Colts (AP),AP - Marvin Harrison is remaining with the Indianapolis Colts as Peyton Manning's primary target.
509,2,Knee Injury Puts Slutskaya's Preparations on Ice, MOSCOW (Reuters) - Former world champion Irina Slutskaya  has suffered another setback to her preparations for a new  figure skating season after injuring her knee in practice.
510,3,"US Average Gasoline Pump Price Falls to \$1.93, Lundberg Says","US gasoline pump prices fell about three cents in the past two weeks to an average of \$1.93 a gallon, Trilby Lundberg said, citing a survey of about 7,000 filling stations by her Camarillo, California, research firm."
511,4,New DVD Has Dual-Layered Surface (AP),"AP - Two Japanese companies said Tuesday they have developed a DVD that can play on both existing machines and the upcoming high-definition players, raising hopes for a smooth transition as more people dump old TV sets for better screens."
512,4,Middleware moves into open source,"JBoss Application Server 4.0, middleware recently certified for J2EE, is ready for enterprise production deployment, according to JBoss."
513,3,Microsoft Expands Operations in India,The Microsoft Corporation announced on Monday that it was significantly expanding its software development operations in India as it opened a new campus near Hyderabad 
514,3,Oil price hits record on Nigeria worries,Crude prices have hit record highs as Nigeria emerges as the new focus of worries about supply security on world oil markets. London Brent on the International Petroleum 
515,1,Iraq Blames US-Led Forces for Army Massacre,Iraq #39;s US-backed government said on Tuesday that  quot;major neglect quot; by its American-led allies led to a massacre of 49 army recruits at the weekend.
516,2,"Australia omit MacGill, Symonds for India tour",Leg spinner Stuart MacGill and all rounder Andrew Symonds were left out of Australia #39;s squad on Thursday for the tour to India in October and November after the selectors decided to go for fresh blood.
517,4,NTT DoCoMo To Launch New Mobile Phone Models,Three of the five new NTT DoCoMo models are equipped with Sony #39;s FiliCa contactless IC card technology that enables the handsets to function as electronic money.
518,1,Clarke criticises princes views on education,"CHARLES Clarke, the education secretary, broke with government protocol yesterday to condemn the Prince of Wales for claiming that modern education wrongly encouraged people to think they could rise above their station."
519,1,Jordan #39;s King Worries About Iraq Elections,"PARIS Sept. 28, 2004 - Extremists will have the upper hand in Iraqi elections if voting is held amid the current violence, Jordan #39;s King Abdullah II said in an interview published Tuesday, voicing profound "
520,2,Umpire Leaves Game,Umpire Ed Montague was in good condition at a hospital after leaving Sunday's game between the Seattle Mariners and Texas Rangers because of high blood pressure.
521,4,U.S. moves closer to e-passports,The State Department will begin issuing electronic passports with microchips that store biometric and other data by early next year.
522,3,New York #39;s Spitzer expects to sue Universal Life,"New York Attorney General Eliot Spitzer expects to file a lawsuit against San Diego-based health insurance company Universal Life Resources on Friday, a spokesman for his office said."
523,4,Microsoft probing reported flaws in Windows XP SP2,"Microsoft Corp. Thursday said it is investigating claims that several new vulnerabilities have been found in Windows XP Service Pack 2 by security firm Finjan Software Inc. in San Jose, Calif. Finjan on Tuesday announced that it had found as many as 10 ""serious"" flaws in SP2."
524,4,Panel Says Pollution Plagues Great Lakes (AP),"AP - Despite improvements in recent decades, the Great Lakes remain a dumping ground for pollution ranging from livestock waste to mercury emissions, a U.S.-Canadian panel said Monday."
525,3,GM and DaimlerChrysler team up on hybrid engine,General Motors and DaimlerChrysler are collaborating on development of fuel- saving hybrid engines in hopes of cashing in on an expanding market dominated by hybrid leaders Toyota and Honda.
526,2,"Couples Makes Early Move, Fast Start for Els"," THOMASTOWN, Ireland (Reuters) - Former U.S. Masters  champion Fred Couples made the first significant move in the  WGC-American Express Championship second round Friday, surging  up the leaderboard with a five-under-par 67."
527,2,Molik runs cold,Alicia Molik #39;s winning run has come to a halt at the quarter final stage of the Advanta Championships in Philadelphia. Molik had beaten Maria Sharapova in the Swisccom Challenge final a fortnight ago but couldn 
528,3,Office Depot chief quits,"Office Depot Inc. Monday said Chairman and Chief Executive Bruce Nelson resigned by mutual agreement with the board, after four years at the helm."
529,2,Paradorn edges out Johansson to reach the last four in Long Island,Defending champion Paradorn Srichaphan overpowered Swede Joachim Johansson 3-6 7-6 6-3 to reach the final four of the Long Island Cup in Commack of New Yorkon Friday.
530,2,Phelps simply a cut above,"Michael Phelps has proven he is the best swimmer ever -- in and out of the pool. Yesterday, the 6-ft. 5-in. 19-year-old from Baltimore won his sixth gold medal to add to his two bronze, making him the swimmer "
531,2,Sports: (15) Wisconsin 24 (18) Ohio State 13,"COLUMBUS, Ohio Fifteenth-ranked Wisconsin won its third straight trip to Ohio Stadium. Anthony Davis slashed for 168 yards and a touchdown and the Badgers beat 18th-ranked Ohio State 24-to-13."
532,1,"Time yet right to reopen controversial law, says Tung",Hong Kong #39;s Beijing-backed chief executive yesterday ruled out any early moves to pass a controversial national security law which last year sparked a street protest by half a million people.
533,3,IN BRIEF," Input, a Reston provider of government market intelligence, said the federal budget for first responders to attacks and disasters may decrease for the first time since the Sept."
534,3,Martha Stewart to Judge: Jail Me Now,"Lifestyle guru Martha Stewart said on Wednesday she wants to serve her prison sentence for lying over a suspicious stock sale as soon as possible, so she can put her  quot;nightmare quot; behind her."
535,1,Rescued whales head out to sea as scientists blame weather for beachings (AFP),AFP - Rescuers succeeded in saving most of the whales still stranded on beaches in Australia and New Zealand as scientists pinpointed cyclical weather patterns as a likely cause of increased beachings.
536,1,Bush: Terrorists May Plan More Attacks,"WASHINGTON - Denying he has painted too rosy a picture about Iraq, President Bush said Thursday he would consider sending more troops if asked, but Iraq's interim leader firmly said they weren't needed. With violence spreading, Defense Secretary Donald H..."
537,2,Olympics: Inspectors Announce Program for 2012 Bid Visits,"Olympic inspectors will visit Madrid first in their whistle-stop tour next year of bid cities hoping to stage the 2012 Games. The Spanish capital will be followed by London, New York, Paris "
538,1,Major points of Iraqi debt reduction plan,"The deal will reduce Iraq #39;s debt owed to the 19 Paris Club creditor nations by 80 percent, from a current \$38.9 billion to \$7.8 billion in 2008."
539,4,Nextel Says FCC Undervalued Deal,Nextel Communications Inc. said the Federal Communications Commission should reduce by at least \$452 million what it is charging the company for new airwaves.
540,2,AL Wrap: Damon Lifts Red Sox Nearer to Yankees, NEW YORK (Reuters) - Johnny Damon drove in the winning run  with a bloop single in the top of the ninth inning as the  Boston Red Sox rallied to edge the New York Yankees 3-2 in an  American League East showdown at Yankee Stadium on Friday.
541,3,ConAgra Profit Falls as Prices Rise," CHICAGO (Reuters) - ConAgra Foods Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CAG.N target=/stocks/quickinfo/fullquote""&gt;CAG.N&lt;/A&gt; on Wednesday  posted lower quarterly profit due to higher ingredient costs  and the sale of its chicken and agricultural products  businesses."
542,3,German car sector faces autumn of discontent,FRANKFURT : Labour conflict looks set to boil over in the German automobile sector in the coming weeks as car makers such as Volkswagen and Opel seek to impose rigorous belt-tightening measures as an answer to chronically weak demand.
543,1,Nationalists Strong Early in Bosnia Poll Count," SARAJEVO (Reuters) - Bosnia's main Muslim, Serb and Croat  nationalist parties led Sunday in an early count for local  polls, but voter turnout fell below 50 percent for the first  time."
544,2,Clijsters looking forward to new test in quarters,"After her first match in five months, former world No. 1 Kim Clijsters was reassured Thursday her left wrist could stand up to top competition again and set her sights on a new test "
545,2,Eagles get busy on third downs,A perfect indicator of how much respect the new-look Philadelphia Eagles offense commands these days was provided by the Detroit Lions in the third quarter of the Eagles #39; 30-13 win Sunday.
546,1,Blair:  #39;Doing everything #39;,"London - Prime Minister Tony Blair is doing  quot;everything he possibly can quot; to save the British engineer kidnapped in Iraq, Blair #39;s deputy said on Tuesday as the hostage #39;s family took encouragement from an offer of help by Palestinian leader Yasser Arafat."
547,3,"Fairfax, PBL reap advertising bonanza",TONY JONES: To business news now and a sharp rebound in the advertising market has improved the fortunes of Australia #39;s media giants.
548,2,O #39;Connell gets start for Aztecs,"SAN DIEGO ---- The Kevin O #39;Connell era has at least temporarily begun. On Monday, the La Costa Canyon High graduate was officially promoted to starting quarterback by San Diego State coach Tom Craft."
549,1,Indonesia as a Beacon,"In just six short years since the dictator Suharto was ousted, the world #39;s fifth most populous nation has seen three presidents, three major terrorist bombings by a group linked to Al Qaeda, three separatist uprisings, a 40 percent unemployment rate, and "
550,1,"Parliament, Court Yet to Defuse Ukraine Crisis","A top Ukrainian opposition leader, quoted by Interfax-Ukraine news agency, said supporters of presidential candidate Viktor Yushchenko had withdrawn from talks on last week's disputed election."
551,1,Blair says Mid East peace is key to beating terror,Tony Blair has redoubled his commitment to finding a resolution to the conflict between Israel and the Palestine. The prime minister told the Commons on Wednesday that bringing peace to the region was the  quot;key quot; to tackling international terrorism.
552,1,Thai murder manhunt intensifies,Police in Thailand have stepped up their hunt for an officer wanted for the murder of two British backpackers.
553,3,Canadian Stock-Index Quotes Halted Amid Power Failure (Update2),"A power failure at a London facility of Reuters Group Plc prevented Standard  amp; Poor #39;s from providing quotes on Canada #39;s benchmark stock indexes, including the S amp;P/TSX Composite Index and the S amp;P/TSX 60 index, Reuters said."
554,1,Myanmar regime using Buddhism as an instrument of propaganda (AFP),"AFP - Buddhism, enthusiastically followed by the majority of Myanmar's 53 million people, is being exploited as a propaganda tool by the military junta, monks and analysts said after the curtain fell on a world Buddhist meeting held here."
555,4,VeriSign launches authentication tools,Company introduces its unified network identification system and strengthens its ties to Microsoft with a similar package tailored for Windows.
556,3,Update 1: Computer Associates to Acquire Netegrity,"Computer Associates International Inc. will acquire Netegrity Inc. in a \$430 million cash deal that will merge the computer security software makers, the companies said Wednesday."
557,4,Another Chinese SMS firm suspended,"BEIJING: Chinadotcom Corp, an integrated software and mobile applications company, said that China Mobile Communications Corporation (CMCC) has suspended its Go2joy short message service (SMS) for an unspecified period due to various violations of its "
558,2,Utah #39;s Meyer to pick Florida over Notre Dame today?,"Maybe Urban Meyer is notheaded to Notre Dame after all.According to a report in the Palm Beach Post, Meyer has beenmade an offer to replace Ron Zook as Florida #39;s coach and isexpected to accept it as early as Friday afternoon."
559,2,Mansell Into British Grand Prix,"The latest personality to pile into the situation concerning the future, if any, of the British Grand Prix is former World Champion Nigel Mansell."
560,3,"EU, 6 Hollywood Studios Settle Antitrust"," LUXEMBOURG (Reuters) - Six Hollywood studios have settled  charges that they curtailed price competition in the sale of  films to pay-television channels in the European Union, the  European Commission announced on Tuesday."
561,4,Do Search Engine Spiders Pick Up Urls in a Javascript Menu?,"Do Search Engine Spiders Pick Up Url's in a Javascript Menu?\\This subject has been discussed before in length, but solutions have remained personal opinion. A thread over at Highrankings addresses some interesting issues regarding whether or not a search engine spider can extract links from a javascript menu. If the ..."
562,1,Putin: Russia #39;s Fight Against Terrorism Will Not Sidetrack Reforms,Russian President Vladimir Putin is defending his government #39;s efforts to strengthen and centralize control in the wake of several recent terrorist attacks.
563,4,Morphine-Free Poppy Holds Key to New Pain-Killers (Reuters),"Reuters - Australian scientists have discovered\how a naturally morphine-free poppy blocks production of the\narcotic, in a finding that could lead to the development of\more effective drugs."
564,4,Cybertrust to open for business in 30 days,"The new company, the product of the merger between TruSecure and Betrusted, will operate in Europe, Asia and North America."
565,3,Santander's Abbey bid helps banks,"Santander Central Hispano's 8.6bn (\$15.3bn) bid for UK lender Abbey will help create a single regional financial market, the European Union's Mario Monti says."
566,4,Absentee Ballots by Email?,"tordia writes  quot;Bruce Schneier has come out against a plan proposed by the Missouri Secretary of State, Matt Blunt. Blunt #39;s proposal would allow  quot;soldiers at remote duty stations or in combat areas cast their "
567,3,Oil prices top \$53,LONDON - The price of crude oil futures surged to new highs today despite assurances from Middle East oil producers that they were committed to bringing the price down as a strike began in Africa #39;s largest exporter.
568,1,Abbas #39; own militants reject call to end intifida,"Key Palestinian militant groups, including ones headed by Mahmoud Abbas, have rejected the leader #39;s calls to end their armed fight against Israel."
569,3,Delta sees wider third-quarter loss,"Delta Air Lines Inc. expects to report a much wider loss for the third quarter due to one-time charges, higher oil prices and a decline in its domestic passenger-mile yield, the airline said Friday."
570,4,Overture Shifting To Default Broad Match,"Within the next few weeks, Overture will make a major switch to matching terms on a broad basis, rather than the traditional exact match default it has followed since the company's launch."
571,3,"Nikkei Led Higher by Techs, Shippers"," TOKYO (Reuters) - Tokyo's Nikkei average rose 0.35 percent  by mid-morning on Tuesday as investors sought bargains among  technology and shipping firms, but gains were limited by  caution ahead of a monetary policy meeting in the United  States."
572,2,Tupa Is a Key Cog,"Punter Tom Tupa has emerged as one of Washington's most valuable players, and has played well enough for Pro Bowl consideration."
573,3,"IBM settles pension suit, take charge","International Business Machines (IBM) has settled portions of an ongoing lawsuit related to pensions, and will take a charge of \$320 million in the current quarter, the technology company said Wednesday."
574,3,Athletes still using Bextra,"com) and Ben Goessling (bgoesslingmndaily.com). Amid speculation that the painkiller Bextra will join Vioxx as drugs recalled from the market, University athletes are still using "
575,1,Washington Mayor Says Council Puts Baseball in Capital at Risk,Anthony Williams said today that he was deeply pessimistic about salvaging the deal to bring the Expos to the city.
576,1,Anti-French mood roils Ivory Coast,Mobs of government supporters looted French businesses and attacked French nationals Sunday.
577,4,We're not so inEFFectual,"&lt;strong&gt;Letters&lt;/strong&gt; Just you try battling the pigopolists, mate"
578,1,Orioles Drub Streaking Yankees 14-8,"BALTIMORE - Brian Roberts and Larry Bigbie had two hits apiece in an eight-run third inning, and the Baltimore Orioles ended the New York Yankees' five-game winning streak with a 14-8 victory Friday night.    Miguel Tejada and Melvin Mora homered, and B.J..."
579,4,"After a Decade, Philips Makes PCs Again","After an absence of a decade, Philips Electronics is making personal computers again, the company said on Thursday. The Netherlands-based electronics conglomerate, which abandoned the "
580,4,Study: FireFox still gaining on Internet Explorer,"Alternative Web browsers Mozilla and FireFox experienced another month of growth at the expense of Microsoft #39;s dominant Internet Explorer, according to an online study."
581,2,Turin Winter Games Organizers Sign Peace Deal,"A political row over the 2006 Turin Winter Olympics has been solved with a power-sharing agreement between Italy #39;s right-wing government and the left-wing head of the local committee, organizers said Thursday."
